time_mult,mem_div,n_through,e_through,time,batch_size
262264,1000,1197.552511415525,None,1.023,1
271916,1000,1197.8678414096917,None,1.01,1
273718,1000,1200.517543859649,None,1.013,1
277855,1000,1197.6508620689656,None,1.022,1
278498,1000,1200.4224137931035,None,1.024,1
286270,1000,1197.7824267782428,None,1.004,1
287717,1000,1198.8208333333334,None,0.993,1
296597,1000,1200.7975708502024,None,1.01,1
299723,1000,1198.892,None,1.029,1
307560,1000,1201.40625,None,1.049,1
307716,1000,1197.3385214007783,None,1.022,1
308144,1000,1199.0038910505837,None,1.05,1
308877,1000,1201.8560311284048,None,1.032,1
312665,1000,1197.9501915708813,None,1.107,1
313518,1000,1201.2183908045977,None,1.054,1
316236,1000,1197.8636363636363,None,1.025,1
321580,1000,1199.9253731343283,None,1.068,1
325119,1000,1199.70110701107,None,0.999,1
325393,1000,1200.7121771217712,None,0.996,1
333866,1000,1200.9568345323742,None,0.997,1
334302,1000,1198.215053763441,None,1.029,1
338474,1000,1200.2624113475176,None,1.015,1
342666,1000,1198.1328671328672,None,1.003,1
342689,1000,1198.2132867132866,None,1.061,1
343289,1000,1200.311188811189,None,1.023,1
347116,1000,1201.0934256055364,None,1.0,1
351718,1000,1200.4027303754267,None,1.008,1
360904,1000,1199.016611295681,None,1.038,1
362453,1000,1200.1754966887418,None,0.998,1
363648,1000,1200.1584158415842,None,1.034,1
365558,1000,1198.5508196721312,None,1.044,1
368025,1000,1198.7785016286646,None,1.034,1
376159,1000,1201.7859424920127,None,1.05,1
386608,1000,1200.6459627329193,None,1.03,1
395043,1000,1200.7386018237082,None,1.032,1
399967,1000,1201.1021021021022,None,1.022,1
405636,1000,1200.1065088757396,None,1.03,1
412378,1000,1198.7732558139535,None,1.022,1
416603,1000,1200.585014409222,None,1.048,1
